AN201704040472854337,32154,80436733,铁流股份,603926,732926,30000000.00,12000000.00,12000.00,244800.00,20.40,2017-04-27,2017-05-02,,22.98,,,985.25,,sh,1000.00,17734500000.00,120000.00,,,,http://topic.eastmoney.com/ZJTLLHQIPO/,汽车离合器的研发、生产和销售,19.70,1.200000,24.480000,20.4,22.14,5884,19.70,1.20,23.64,12.00,待上市,,,,,AN201703260441746324,22.19,22.19,2017-05-02,20.40,22.98,,20.41,22.99
,32263,80318044,新日股份,603787,732787,51000000.00,20400000.00,20000.00,,,2017-04-17,2017-04-19,,,,,,,sh,1000.00,,200000.00,,,,http://topic.eastmoney.com/JSXRDDCIPO/,电动自行车研发、生产与销售.,6.09,,,,0,,6.09,2,12.18,20.00,待上市,,,,,AN201704060480770523,22.96,44.58,2017-04-19,6.09,22.96,,6.09,22.99
,32246,80471562,友讯达,300514,300514,25000000.00,10000000.00,10000.00,,,2017-04-17,2017-04-19,,,,,,,cyb,500.00,,100000.00,,,,http://topic.eastmoney.com/SZYXDKJIPO/,为各行业提供无线传感网络综合解决方案,8.46,1.000000,8.460000,,0,,8.46,1,8.46,10.00,待上市,,,,,AN201704050477008544,22.98,58.72,2017-04-19,8.46,22.98,,8.46,22.99
,32245,80463415,传艺科技,002866,002866,35906700.00,14362000.00,14000.00,,,2017-04-17,2017-04-19,,,,,,,zxb,500.00,,140000.00,,,,http://data.eastmoney.com/xg/gh/detail/80463415.html,笔记本电脑及其他消费电子产品零组件的研发、生产和销售。,13.40,1.400000,18.760000,,0,,13.40,1.40,18.76,14.00,待上市,,,,,AN201704050477008535,22.99,58.72,2017-04-19,13.40,22.99,,13.40,22.99
,32248,80425998,世运电路,603920,732920,88800000.00,26640000.00,26000.00,,,2017-04-14,2017-04-18,,,,,,,sh,1000.00,,260000.00,,,,http://topic.eastmoney.com/GDSYDLKJIPO/,PCB的生产、销售及相关服务。,15.08,2.600000,39.210000,,0,,15.08,2.60,39.21,26.00,待上市,,,,,AN201704050476977844,22.97,58.72,2017-04-18,15.08,22.97,,15.09,22.99
,32247,80319598,新经典,603096,732096,33360000.00,13344000.00,13000.00,,,2017-04-14,2017-04-18,,,,,,,sh,1000.00,,130000.00,,,,http://topic.eastmoney.com/XJDWHIPO/,图书策划与发行、图书分销、影视剧业务,21.55,1.300000,28.020000,,0,,21.55,1.30,28.02,13.00,待上市,,,,,AN201704050476977850,21.22,33.67,2017-04-18,21.55,21.22,,23.34,22.99
,32226,80349128,钧达股份,002865,002865,30000000.00,12000000.00,12000.00,,,2017-04-14,2017-04-18,,,,,,,zxb,500.00,,120000.00,,,,http://topic.eastmoney.com/hnydqc/,从事汽车塑料内外饰件的研发、生产和销售的高新技术企业。,9.05,1.200000,10.860000,,0,,9.05,1.20,10.86,12.00,待上市,,,,,AN201704050472893616,22.11,22.19,2017-04-18,9.05,22.11,,9.41,22.99
AN201704060480770515,32264,80038010,格尔软件,603232,732232,15250000.00,15250000.00,,,18.10,2017-04-11,2017-04-13,,22.91,,,,,sh,1000.00,,,,,,http://topic.eastmoney.com/SHGERJIPO/,主要从事以公钥基础设施PKI(Public Key Infrastructure)为核心的商用密码软件产品的研发、生产和销售及服务业务&sbquo;为用户提供基于PKI的信息安全系列产品、安全服务和信息安全整体解决方案。,,,,,0,,,,,,待上市,,,,,,,76.68,2017-04-13,,,,,22.99
AN201704060480770513,32265,80474369,三超新材,300554,300554,13000000.00,13000000.00,,,14.99,2017-04-11,2017-04-13,,22.99,,,,,cyb,500.00,,,,,,http://topic.eastmoney.com/NJSCXCLIPO/,专业从事金刚石工具的研发、生产和销售,,,,,0,,,,,,待上市,,,,,,,37.48,2017-04-13,,,,,
AN201704060480770520,32155,80436735,康惠制药,603139,732139,24970000.00,9970000.00,9000.00,131130.00,14.57,2017-04-10,2017-04-12,,22.98,,,,,sh,1000.00,,90000.00,,,,http://topic.eastmoney.com/SXKHZYIPO/,中成药品的研究、开发、生产与销售,14.57,0.900000,13.120000,14.57,0,4952,14.57,0.90,13.11,9.00,待上市,,,,,AN201703260441746372,22.98,44.21,2017-04-12,14.57,22.98,,14.57,22.99
AN201704060480770531,32178,80305887,大丰实业,603081,732081,51800000.00,15500000.00,15000.00,156300.00,10.42,2017-04-10,2017-04-12,,22.98,,,,,sh,1000.00,,150000.00,,,,http://topic.eastmoney.com/ZJDFSYIPO/,公司是行业领先的文体设施整体集成方案解决商&sbquo;主营业务包括智能舞台、建筑声学工程、公共装饰、座椅看台&sbquo;公司拥有设计研发、生产制造、安装调试、售后维护的整体实力。,10.42,1.500000,15.630000,10.42,0,4685,10.42,1.50,15.63,15.00,待上市,,,,,AN201703270443022441,22.98,79.27,2017-04-12,10.42,22.98,,10.42,22.99
AN201704050476988003,32177,80009562,瑞斯康达,603803,732803,56800000.00,16800000.00,16000.00,219520.00,13.72,2017-04-07,2017-04-11,,22.98,,,1230.55,,sh,1000.00,49222000000.00,160000.00,,,,http://topic.eastmoney.com/RSKDKJFZIPO/,电信网络接入产品的研发、生产和销售&sbquo;以光传输和以太网技术为核心&sbquo;为客户提供各种网络接入设备产品以及全面的网络接入解决方案。,13.72,1.600000,21.960000,14,58.47,4808,13.72,1.60,21.95,16.00,待上市,,,,,AN201703270443010744,22.98,58.47,2017-04-11,13.72,22.98,,13.72,22.99
AN201704050476977849,32153,80154170,新凤鸣,603225,732225,77300000.00,23190000.00,23000.00,613640.00,26.68,2017-04-07,2017-04-11,,22.99,,,881.44,,sh,1000.00,47694800000.00,230000.00,,,,http://topic.eastmoney.com/XFMJTIPO/,民用涤纶长丝的研发、生产和销售,26.68,2.300000,61.370000,26.68,82.19,4798,26.68,2.30,61.36,23.00,待上市,,,,,AN201703260441746363,22.99,82.10,2017-04-11,26.68,22.99,,26.67,22.99
AN201704040472882017,32156,80204672,正丹股份,300641,300641,72000000.00,64800000.00,28500.00,305805.00,10.73,2017-04-06,2017-04-10,,22.98,0.0375,,1814.34,14322900,cyb,500.00,78379300000.00,285000.00,,,,http://topic.eastmoney.com/JSZDHXGYIPO/,主要从事高端环保新材料的研发、生产和销售。,10.73,2.850000,30.590000,10.73,48.64,5155,10.73,2.85,30.58,28.50,待上市,,,,,AN201703270441774508,22.99,48.64,2017-04-10,10.73,22.99,,10.73,22.99
AN201704050472893606,32157,80107180,今飞凯达,002863,002863,55500000.00,49950000.00,20500.00,112340.00,5.48,2017-04-06,2017-04-10,,21.92,0.0309,,1583.29,8861500,zxb,500.00,55415300000.00,205000.00,,,,http://topic.eastmoney.com/ZJJFKDIPO/,铝合金车轮的研发、设计、制造和销售,5.48,2.050000,11.240000,6.4,22.14,5509,5.48,2.05,11.23,20.50,待上市,,,,,AN201703270441774547,21.68,22.14,2017-04-10,5.48,21.68,,5.81,22.99
AN201703290449631437,32198,80491315,德艺文创,300640,300640,20000000.00,20000000.00,20000.00,188200.00,9.41,2017-04-05,2017-04-07,,22.98,0.0138,,,34199000,cyb,500.00,,200000.00,,,,http://topic.eastmoney.com/DYWHCYJTIPO/,创意家居用品的研发设计、外包生产及销售,9.41,2.000000,18.820000,,76.79,,9.41,2,18.82,20.00,待上市,,,,,,22.98,79.39,2017-04-07,9.41,22.98,,9.41,22.99
